2 201 
0.038500 -0.000050 -0.000051
0.039000 -0.000076 -0.000059
0.039500 -0.000088 -0.000035
0.040000 -0.000089 0.000039
0.040500 -0.000085 0.000117
0.041000 -0.000080 0.000095
0.041500 -0.000077 0.000005
0.042000 -0.000074 -0.000059
0.042500 -0.000069 -0.000080
0.043000 -0.000059 -0.000072
0.043500 -0.000041 -0.000044
0.044000 -0.000011 -0.000007
0.044500 0.000032 0.000028
0.045000 0.000082 0.000049
0.045500 0.000130 0.000050
0.046000 0.000165 0.000035
0.046500 0.000178 0.000012
0.047000 0.000160 -0.000010
0.047500 0.000121 -0.000025
0.048000 0.000072 -0.000023
0.048500 0.000027 0.000003
0.049000 -0.000003 0.000055
0.049500 -0.000011 0.000119
0.050000 -0.000002 0.000175
0.050500 0.000015 0.000205
0.051000 0.000032 0.000194
0.051500 0.000041 0.000149
0.052000 0.000033 0.000085
0.052500 0.000006 0.000016
0.053000 -0.000029 -0.000044
0.053500 -0.000059 -0.000091
0.054000 -0.000072 -0.000127
0.054500 -0.000053 -0.000152
0.055000 0.000011 -0.000169
0.055500 0.000096 -0.000177
0.056000 0.000087 -0.000179
0.056500 -0.000004 -0.000176
0.057000 -0.000078 -0.000168
0.057500 -0.000121 -0.000157
0.058000 -0.000140 -0.000145
0.058500 -0.000138 -0.000131
0.059000 -0.000123 -0.000117
0.059500 -0.000099 -0.000101
0.060000 -0.000071 -0.000086
0.060500 -0.000042 -0.000070
0.061000 -0.000016 -0.000053
0.061500 0.000002 -0.000037
0.062000 0.000012 -0.000022
0.062500 0.000014 -0.000007
0.063000 0.000010 0.000007
0.063500 0.000000 0.000020
0.064000 -0.000017 0.000030
0.064500 -0.000037 0.000037
0.065000 -0.000057 0.000040
0.065500 -0.000071 0.000038
0.066000 -0.000076 0.000031
0.066500 -0.000068 0.000020
0.067000 -0.000052 0.000004
0.067500 -0.000032 -0.000015
0.068000 -0.000012 -0.000033
0.068500 0.000002 -0.000039
0.069000 0.000007 -0.000026
0.069500 0.000008 0.000001
0.070000 0.000005 0.000018
0.070500 0.000003 -0.000002
0.071000 0.000002 -0.000072
0.071500 0.000000 -0.000158
0.072000 -0.000001 -0.000220
0.072500 -0.000004 -0.000219
0.073000 -0.000007 -0.000159
0.073500 -0.000013 -0.000070
0.074000 -0.000022 0.000015
0.074500 -0.000035 0.000074
0.075000 -0.000050 0.000107
0.075500 -0.000064 0.000119
0.076000 -0.000069 0.000114
0.076500 -0.000061 0.000096
0.077000 -0.000033 0.000069
0.077500 0.000020 0.000037
0.078000 0.000089 0.000003
0.078500 0.000140 -0.000028
0.079000 0.000139 -0.000053
0.079500 0.000086 -0.000069
0.080000 0.000021 -0.000072
0.080500 -0.000014 -0.000059
0.081000 -0.000011 -0.000027
0.081500 0.000014 0.000027
0.082000 0.000044 0.000093
0.082500 0.000062 0.000143
0.083000 0.000052 0.000153
0.083500 0.000025 0.000113
0.084000 -0.000002 0.000050
0.084500 -0.000013 -0.000011
0.085000 0.000009 -0.000052
0.085500 0.000069 -0.000073
0.086000 0.000146 -0.000080
0.086500 0.000218 -0.000076
0.087000 0.000261 -0.000065
0.087500 0.000252 -0.000051
0.088000 0.000193 -0.000035
0.088500 0.000111 -0.000021
0.089000 0.000036 -0.000008
0.089500 -0.000001 -0.000000
0.090000 0.000024 0.000002
0.090500 0.000093 0.000000
0.091000 0.000153 -0.000005
0.091500 0.000153 -0.000011
0.092000 0.000047 -0.000016
0.092500 -0.000115 -0.000018
0.093000 -0.000208 -0.000016
0.093500 -0.000108 -0.000008
0.094000 0.000104 0.000007
0.094500 0.000177 0.000032
0.095000 0.000151 0.000060
0.095500 0.000079 0.000084
0.096000 0.000014 0.000095
0.096500 0.000007 0.000086
0.097000 0.000050 0.000053
0.097500 0.000053 0.000014
0.098000 -0.000050 -0.000014
0.098500 -0.000064 -0.000013
0.099000 0.000092 -0.000000
0.099500 0.000083 -0.000287
0.100000 0.000011 -0.000615
