Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
254,1661422685160,8452.0,-32.0,524.0
255,1661422685161,8328.0,340.0,660.0
256,1661422685162,8832.0,308.0,664.0
257,1661422685165,8308.0,-300.0,412.0
258,1661422685166,8608.0,-4.0,600.0
259,1661422685170,8524.0,-284.0,460.0
260,1661422685172,8616.0,-184.0,400.0
261,1661422685174,8196.0,172.0,564.0
262,1661422685178,8596.0,-228.0,488.0
263,1661422685178,8476.0,-156.0,516.0
264,1661422685180,8496.0,40.0,636.0
265,1661422685183,8420.0,-16.0,396.0
266,1661422685185,8220.0,-44.0,668.0
267,1661422685187,8740.0,36.0,508.0
268,1661422685190,8584.0,104.0,496.0
269,1661422685191,8352.0,32.0,388.0
270,1661422685194,8880.0,212.0,472.0
271,1661422685196,8212.0,4.0,368.0
272,1661422685198,8420.0,0.0,672.0
273,1661422685201,8660.0,-228.0,516.0
274,1661422685203,8512.0,4.0,500.0
275,1661422685205,8372.0,100.0,572.0
276,1661422685207,8636.0,-96.0,568.0
277,1661422685209,8416.0,88.0,676.0
278,1661422685212,8676.0,-68.0,396.0
279,1661422685212,8456.0,324.0,424.0
280,1661422685217,8120.0,100.0,668.0
281,1661422685218,8872.0,-272.0,360.0
282,1661422685219,8356.0,-80.0,384.0
283,1661422685223,8604.0,12.0,480.0
284,1661422685224,8800.0,-212.0,552.0
285,1661422685227,8252.0,-76.0,704.0
286,1661422685228,8604.0,8.0,620.0
287,1661422685230,8516.0,-60.0,532.0
288,1661422685233,8644.0,324.0,652.0
289,1661422685235,8504.0,-484.0,472.0
290,1661422685239,8532.0,328.0,556.0
291,1661422685240,8524.0,-140.0,400.0
292,1661422685242,8544.0,-476.0,444.0
293,1661422685244,8672.0,172.0,428.0
294,1661422685246,8112.0,-80.0,492.0
295,1661422685248,8716.0,128.0,528.0
296,1661422685251,8808.0,84.0,596.0
297,1661422685253,8228.0,-100.0,828.0
298,1661422685255,8680.0,200.0,480.0
299,1661422685257,8400.0,-112.0,512.0
300,1661422685260,8132.0,100.0,368.0
301,1661422685261,8604.0,72.0,564.0
302,1661422685263,8620.0,-24.0,336.0
303,1661422685268,8552.0,-104.0,440.0
304,1661422685268,8556.0,-136.0,512.0
305,1661422685271,8444.0,-132.0,352.0
306,1661422685273,8364.0,-192.0,536.0
307,1661422685275,8540.0,180.0,736.0
308,1661422685277,8360.0,-168.0,292.0
309,1661422685280,8276.0,0.0,764.0
310,1661422685281,8724.0,20.0,436.0
311,1661422685284,8488.0,204.0,440.0
312,1661422685286,8320.0,204.0,568.0
313,1661422685288,8728.0,-488.0,320.0
314,1661422685290,8176.0,-24.0,360.0
315,1661422685293,8112.0,-4.0,360.0
316,1661422685296,8556.0,-176.0,368.0
317,1661422685297,8300.0,-248.0,456.0
318,1661422685299,8824.0,300.0,624.0
319,1661422685303,8576.0,84.0,596.0
320,1661422685303,8308.0,124.0,780.0
321,1661422685306,8508.0,4.0,508.0
322,1661422685308,8468.0,-116.0,452.0
323,1661422685310,8336.0,-136.0,552.0
324,1661422685312,8640.0,-192.0,340.0
325,1661422685314,8616.0,216.0,560.0
326,1661422685318,8160.0,68.0,444.0
327,1661422685319,8784.0,-292.0,476.0
328,1661422685321,8788.0,-24.0,708.0
329,1661422685323,8196.0,24.0,520.0
330,1661422685325,8660.0,12.0,620.0
331,1661422685328,8240.0,-76.0,676.0
332,1661422685330,8472.0,-284.0,460.0
333,1661422685331,8364.0,236.0,392.0
334,1661422685334,8600.0,244.0,508.0
335,1661422685335,8372.0,-228.0,264.0
336,1661422685339,8704.0,-140.0,624.0
337,1661422685341,8528.0,-76.0,592.0
338,1661422685343,8548.0,-272.0,288.0
339,1661422685345,8376.0,240.0,640.0
340,1661422685347,8552.0,-316.0,428.0
341,1661422685349,8168.0,-80.0,620.0
342,1661422685353,8920.0,236.0,580.0
343,1661422685354,8488.0,-204.0,392.0
344,1661422685356,8472.0,236.0,672.0
345,1661422685359,8264.0,-316.0,328.0
346,1661422685360,8488.0,-132.0,552.0
347,1661422685362,8184.0,-196.0,344.0
348,1661422685364,8600.0,200.0,684.0
349,1661422685367,8376.0,-300.0,532.0
350,1661422685369,8556.0,220.0,692.0
351,1661422685372,8388.0,-144.0,520.0
352,1661422685372,8356.0,352.0,532.0
353,1661422685377,8568.0,-156.0,644.0
354,1661422685378,8528.0,-120.0,224.0
355,1661422685379,8200.0,288.0,556.0
356,1661422685382,8704.0,-476.0,600.0
357,1661422685385,8748.0,412.0,364.0
358,1661422685387,7956.0,-132.0,436.0
359,1661422685389,8816.0,-436.0,708.0
360,1661422685391,8312.0,-100.0,496.0
361,1661422685393,8408.0,196.0,576.0
362,1661422685396,8472.0,-48.0,492.0
363,1661422685398,8424.0,4.0,468.0
364,1661422685399,8636.0,-72.0,468.0
365,1661422685402,8488.0,-88.0,496.0
366,1661422685405,8552.0,544.0,488.0
367,1661422685406,8456.0,-472.0,412.0
368,1661422685409,8704.0,-96.0,604.0
369,1661422685411,8320.0,328.0,548.0
370,1661422685413,8632.0,-480.0,552.0
371,1661422685415,8504.0,-60.0,520.0
372,1661422685419,8576.0,60.0,680.0
373,1661422685420,8540.0,-128.0,464.0
374,1661422685422,8456.0,364.0,576.0
375,1661422685424,8288.0,-156.0,392.0
376,1661422685426,8476.0,200.0,440.0
377,1661422685428,8736.0,-320.0,432.0
378,1661422685430,8416.0,-76.0,420.0
379,1661422685432,8656.0,-144.0,592.0
380,1661422685435,8716.0,200.0,532.0
381,1661422685436,8596.0,-392.0,336.0
382,1661422685440,8696.0,328.0,840.0
383,1661422685441,8356.0,-356.0,444.0
384,1661422685444,8456.0,348.0,604.0
385,1661422685446,8256.0,80.0,708.0
386,1661422685448,8496.0,-8.0,240.0
387,1661422685450,8320.0,152.0,588.0
388,1661422685453,8676.0,-384.0,344.0
389,1661422685455,8584.0,168.0,556.0
390,1661422685457,8256.0,72.0,524.0
391,1661422685458,8652.0,-124.0,372.0
392,1661422685461,8260.0,-220.0,612.0
393,1661422685463,8528.0,16.0,404.0
394,1661422685465,8284.0,64.0,588.0
395,1661422685468,8320.0,-200.0,740.0
396,1661422685470,8812.0,292.0,748.0
397,1661422685472,8320.0,-260.0,328.0
398,1661422685475,8636.0,584.0,452.0
399,1661422685477,8404.0,-428.0,408.0
400,1661422685478,8488.0,-28.0,488.0
401,1661422685483,8148.0,4.0,460.0
402,1661422685483,8508.0,-192.0,324.0
403,1661422685486,8600.0,-72.0,668.0
404,1661422685488,8712.0,128.0,584.0
405,1661422685490,8324.0,-208.0,504.0
406,1661422685492,8488.0,172.0,724.0
407,1661422685494,8760.0,156.0,456.0
408,1661422685496,8548.0,-236.0,412.0
409,1661422685499,8308.0,136.0,584.0
410,1661422685501,8484.0,-228.0,144.0
411,1661422685503,8532.0,-328.0,440.0
412,1661422685505,8568.0,396.0,412.0
413,1661422685507,8596.0,-392.0,388.0
414,1661422685509,8476.0,100.0,808.0
415,1661422685511,8504.0,-316.0,588.0
416,1661422685513,8488.0,32.0,584.0
417,1661422685516,8096.0,224.0,604.0
418,1661422685517,8640.0,-496.0,252.0
